,Instance ID,Predict,Real Label
0,0,ship,cat
1,1,airplane,ship
2,2,ship,ship
3,3,airplane,airplane
4,4,deer,frog
5,5,frog,frog
6,6,cat,automobile
7,7,bird,frog
8,8,cat,cat
9,9,bird,automobile
10,10,airplane,airplane
11,11,truck,truck
12,12,ship,dog
13,13,airplane,horse
14,14,ship,truck
15,15,airplane,ship
16,16,cat,dog
17,17,airplane,horse
18,18,ship,ship
19,19,cat,frog
20,20,airplane,horse
21,21,airplane,airplane
22,22,bird,deer
23,23,airplane,truck
24,24,bird,dog
25,25,bird,bird
26,26,ship,deer
27,27,airplane,airplane
28,28,airplane,truck
29,29,airplane,frog
30,30,cat,frog
31,31,airplane,dog
32,32,airplane,deer
33,33,cat,dog
34,34,automobile,truck
35,35,bird,bird
36,36,airplane,deer
37,37,ship,automobile
38,38,dog,truck
39,39,airplane,dog
40,40,airplane,deer
41,41,bird,frog
42,42,cat,dog
43,43,airplane,frog
44,44,airplane,airplane
45,45,airplane,truck
46,46,cat,cat
47,47,airplane,truck
48,48,bird,horse
49,49,deer,frog
50,50,airplane,truck
51,51,bird,ship
52,52,bird,airplane
53,53,deer,cat
54,54,ship,ship
55,55,bird,ship
56,56,frog,horse
57,57,automobile,horse
58,58,ship,deer
59,59,dog,frog
60,60,airplane,horse
61,61,automobile,cat
62,62,horse,frog
63,63,deer,cat
64,64,dog,frog
65,65,bird,bird
66,66,horse,automobile
67,67,airplane,bird
68,68,cat,cat
69,69,airplane,horse
70,70,bird,bird
71,71,bird,frog
72,72,ship,ship
73,73,airplane,ship
74,74,airplane,airplane
75,75,airplane,bird
76,76,airplane,truck
77,77,airplane,cat
78,78,airplane,cat
79,79,automobile,ship
80,80,ship,ship
81,81,airplane,automobile
82,82,airplane,automobile
83,83,airplane,horse
84,84,ship,bird
85,85,truck,dog
86,86,cat,bird
87,87,airplane,horse
88,88,ship,ship
89,89,airplane,truck
90,90,airplane,airplane
91,91,bird,cat
92,92,bird,ship
93,93,ship,frog
94,94,airplane,deer
95,95,airplane,frog
96,96,bird,frog
97,97,airplane,airplane
98,98,airplane,airplane
99,99,airplane,horse
100,100,airplane,deer
101,101,bird,dog
102,102,frog,frog
103,103,cat,cat
104,104,airplane,automobile
105,105,airplane,automobile
106,106,frog,cat
107,107,bird,frog
108,108,airplane,ship
109,109,horse,horse
110,110,bird,deer
111,111,airplane,airplane
112,112,ship,frog
113,113,deer,bird
114,114,airplane,automobile
115,115,deer,cat
116,116,airplane,airplane
117,117,ship,deer
118,118,horse,bird
119,119,cat,horse
120,120,ship,ship
121,121,bird,cat
122,122,airplane,automobile
123,123,ship,bird
124,124,truck,ship
125,125,airplane,airplane
126,126,ship,ship
127,127,cat,cat
128,128,ship,dog
129,129,bird,bird
130,130,airplane,deer
131,131,automobile,automobile
132,132,ship,ship
133,133,airplane,truck
134,134,airplane,automobile
135,135,airplane,bird
136,136,truck,truck
137,137,airplane,horse
138,138,airplane,bird
139,139,airplane,truck
140,140,automobile,frog
141,141,airplane,dog
142,142,airplane,frog
143,143,airplane,cat
144,144,ship,ship
145,145,automobile,horse
146,146,automobile,frog
147,147,dog,bird
148,148,cat,dog
149,149,bird,bird
150,150,horse,ship
151,151,automobile,truck
152,152,ship,frog
153,153,airplane,airplane
154,154,airplane,airplane
155,155,frog,dog
156,156,airplane,bird
157,157,truck,truck
158,158,ship,dog
159,159,airplane,deer
160,160,airplane,bird
161,161,automobile,automobile
162,162,airplane,frog
163,163,bird,frog
164,164,ship,ship
165,165,airplane,deer
166,166,ship,ship
167,167,bird,deer
168,168,truck,dog
169,169,truck,airplane
170,170,deer,truck
171,171,ship,truck
172,172,deer,truck
173,173,airplane,ship
174,174,airplane,truck
175,175,ship,truck
176,176,airplane,cat
177,177,horse,horse
178,178,bird,dog
179,179,airplane,airplane
180,180,bird,airplane
181,181,dog,dog
182,182,cat,bird
183,183,airplane,bird
184,184,airplane,cat
185,185,ship,ship
186,186,bird,frog
187,187,truck,cat
188,188,airplane,deer
189,189,airplane,airplane
190,190,deer,dog
191,191,airplane,ship
192,192,ship,airplane
193,193,ship,automobile
194,194,dog,horse
195,195,bird,bird
196,196,truck,ship
197,197,dog,ship
198,198,bird,horse
199,199,automobile,ship
200,200,deer,dog
201,201,airplane,automobile
202,202,ship,ship
203,203,ship,horse
204,204,airplane,automobile
205,205,bird,cat
206,206,airplane,airplane
207,207,bird,dog
208,208,airplane,horse
209,209,airplane,truck
210,210,bird,horse
211,211,airplane,deer
212,212,airplane,dog
213,213,truck,truck
214,214,ship,ship
215,215,airplane,airplane
216,216,airplane,horse
217,217,automobile,truck
218,218,airplane,ship
219,219,airplane,bird
220,220,ship,horse
221,221,ship,frog
222,222,automobile,truck
223,223,airplane,deer
224,224,cat,cat
225,225,airplane,truck
226,226,bird,frog
227,227,frog,deer
228,228,cat,horse
229,229,airplane,frog
230,230,bird,dog
231,231,truck,automobile
232,232,bird,dog
233,233,ship,ship
234,234,ship,ship
235,235,airplane,airplane
236,236,bird,deer
237,237,ship,airplane
238,238,airplane,dog
239,239,frog,dog
240,240,airplane,automobile
241,241,cat,automobile
242,242,airplane,ship
243,243,airplane,truck
244,244,ship,airplane
245,245,horse,cat
246,246,deer,automobile
247,247,airplane,truck
248,248,airplane,bird
249,249,bird,bird
250,250,airplane,dog
251,251,bird,cat
252,252,airplane,truck
253,253,airplane,truck
254,254,airplane,deer
255,255,ship,airplane
256,256,bird,cat
257,257,bird,airplane
258,258,airplane,airplane
259,259,cat,truck
260,260,airplane,ship
261,261,automobile,automobile
262,262,truck,dog
263,263,dog,horse
264,264,airplane,airplane
265,265,airplane,ship
266,266,airplane,bird
267,267,airplane,deer
268,268,ship,horse
269,269,bird,airplane
270,270,bird,bird
271,271,airplane,cat
272,272,bird,frog
273,273,bird,cat
274,274,ship,ship
275,275,airplane,dog
276,276,airplane,airplane
277,277,airplane,cat
278,278,deer,deer
279,279,deer,cat
280,280,truck,truck
281,281,airplane,airplane
282,282,airplane,frog
283,283,automobile,automobile
284,284,ship,airplane
285,285,truck,truck
286,286,airplane,automobile
287,287,ship,airplane
288,288,airplane,horse
289,289,ship,truck
290,290,automobile,automobile
291,291,bird,bird
292,292,bird,frog
293,293,airplane,truck
294,294,frog,cat
295,295,deer,deer
296,296,deer,frog
297,297,airplane,airplane
298,298,airplane,airplane
299,299,bird,frog
300,300,cat,frog
301,301,bird,frog
302,302,bird,cat
303,303,airplane,bird
304,304,airplane,frog
305,305,ship,automobile
306,306,ship,ship
307,307,bird,bird
308,308,automobile,automobile
309,309,deer,frog
310,310,ship,ship
311,311,deer,frog
312,312,ship,ship
313,313,airplane,airplane
314,314,ship,deer
315,315,bird,airplane
316,316,deer,horse
317,317,bird,horse
318,318,frog,dog
319,319,airplane,dog
320,320,bird,cat
321,321,bird,dog
322,322,horse,bird
323,323,deer,cat
324,324,cat,deer
325,325,airplane,automobile
326,326,ship,horse
327,327,airplane,dog
328,328,airplane,deer
329,329,bird,frog
330,330,deer,automobile
331,331,automobile,truck
332,332,bird,cat
333,333,frog,frog
334,334,horse,frog
335,335,airplane,truck
336,336,dog,cat
337,337,ship,ship
338,338,bird,airplane
339,339,airplane,horse
340,340,airplane,bird
341,341,bird,frog
342,342,bird,bird
343,343,bird,dog
344,344,ship,ship
345,345,airplane,dog
346,346,airplane,deer
347,347,airplane,frog
348,348,ship,ship
349,349,truck,truck
350,350,airplane,truck
351,351,bird,automobile
352,352,airplane,airplane
353,353,bird,bird
354,354,bird,bird
355,355,deer,horse
356,356,bird,cat
357,357,airplane,bird
358,358,airplane,ship
359,359,airplane,airplane
360,360,airplane,truck
361,361,cat,dog
362,362,airplane,ship
363,363,airplane,automobile
364,364,airplane,truck
365,365,automobile,deer
366,366,automobile,automobile
367,367,airplane,cat
368,368,airplane,ship
369,369,airplane,automobile
370,370,bird,deer
371,371,airplane,horse
372,372,automobile,truck
373,373,ship,deer
374,374,bird,bird
375,375,horse,horse
376,376,airplane,airplane
377,377,airplane,horse
378,378,airplane,airplane
379,379,bird,frog
380,380,deer,frog
381,381,automobile,truck
382,382,airplane,airplane
383,383,airplane,truck
384,384,airplane,bird
385,385,airplane,ship
386,386,airplane,horse
387,387,airplane,bird
388,388,airplane,bird
389,389,airplane,dog
390,390,automobile,automobile
391,391,airplane,bird
392,392,airplane,frog
393,393,airplane,bird
394,394,truck,truck
395,395,bird,frog
396,396,horse,bird
397,397,ship,cat
398,398,airplane,airplane
399,399,airplane,cat
400,400,ship,truck
401,401,bird,ship
402,402,horse,horse
403,403,airplane,ship
404,404,ship,ship
405,405,frog,deer
406,406,airplane,airplane
407,407,airplane,automobile
408,408,bird,ship
409,409,bird,bird
410,410,ship,horse
411,411,airplane,truck
412,412,airplane,cat
413,413,bird,frog
414,414,airplane,automobile
415,415,truck,truck
416,416,airplane,airplane
417,417,airplane,horse
418,418,cat,cat
419,419,airplane,horse
420,420,frog,deer
421,421,bird,dog
422,422,airplane,airplane
423,423,bird,airplane
424,424,cat,bird
425,425,cat,truck
426,426,frog,cat
427,427,airplane,deer
428,428,horse,airplane
429,429,bird,frog
430,430,cat,bird
431,431,cat,dog
432,432,bird,cat
433,433,cat,horse
434,434,cat,cat
435,435,bird,horse
436,436,bird,bird
437,437,bird,dog
438,438,airplane,cat
439,439,horse,automobile
440,440,truck,automobile
441,441,airplane,deer
442,442,automobile,truck
443,443,truck,truck
444,444,ship,dog
445,445,airplane,horse
446,446,dog,dog
447,447,airplane,airplane
448,448,bird,bird
449,449,airplane,bird
450,450,airplane,bird
451,451,ship,truck
452,452,deer,horse
453,453,frog,cat
454,454,airplane,truck
455,455,ship,deer
456,456,airplane,cat
457,457,bird,dog
458,458,bird,deer
459,459,airplane,frog
460,460,airplane,dog
461,461,deer,frog
462,462,airplane,automobile
463,463,bird,deer
464,464,airplane,cat
465,465,bird,deer
466,466,bird,deer
467,467,airplane,cat
468,468,bird,horse
469,469,frog,ship
470,470,dog,cat
471,471,bird,horse
472,472,airplane,ship
473,473,bird,airplane
474,474,bird,dog
475,475,ship,horse
476,476,airplane,frog
477,477,airplane,airplane
478,478,bird,dog
479,479,frog,deer
480,480,airplane,ship
481,481,frog,frog
482,482,ship,ship
483,483,airplane,dog
484,484,dog,dog
485,485,ship,truck
486,486,automobile,truck
487,487,airplane,truck
488,488,ship,dog
489,489,airplane,airplane
490,490,ship,automobile
491,491,ship,airplane
492,492,ship,ship
493,493,bird,automobile
494,494,airplane,automobile
495,495,ship,ship
496,496,cat,airplane
497,497,airplane,bird
498,498,airplane,bird
499,499,airplane,airplane
500,500,ship,deer
501,501,bird,frog
502,502,deer,dog
503,503,frog,deer
504,504,airplane,truck
505,505,bird,deer
506,506,airplane,horse
507,507,airplane,truck
508,508,bird,truck
509,509,bird,deer
510,510,ship,dog
511,511,bird,frog
512,512,bird,frog
513,513,airplane,automobile
514,514,airplane,dog
515,515,bird,cat
516,516,ship,ship
517,517,automobile,truck
518,518,ship,dog
519,519,ship,ship
520,520,bird,dog
521,521,airplane,horse
522,522,airplane,airplane
523,523,airplane,horse
524,524,airplane,airplane
525,525,airplane,dog
526,526,bird,airplane
527,527,airplane,airplane
528,528,airplane,deer
529,529,airplane,frog
530,530,airplane,truck
531,531,airplane,airplane
532,532,airplane,truck
533,533,bird,dog
534,534,frog,frog
535,535,frog,frog
536,536,airplane,frog
537,537,bird,bird
538,538,airplane,truck
539,539,ship,airplane
540,540,airplane,automobile
541,541,automobile,horse
542,542,frog,frog
543,543,airplane,horse
544,544,dog,dog
545,545,ship,truck
546,546,automobile,automobile
547,547,bird,frog
548,548,airplane,bird
549,549,airplane,dog
550,550,airplane,dog
551,551,bird,dog
552,552,ship,ship
553,553,airplane,dog
554,554,ship,truck
555,555,ship,deer
556,556,bird,frog
557,557,horse,deer
558,558,bird,cat
559,559,bird,bird
560,560,airplane,airplane
561,561,horse,horse
562,562,deer,frog
563,563,bird,bird
564,564,airplane,bird
565,565,airplane,cat
566,566,airplane,truck
567,567,bird,horse
568,568,ship,truck
569,569,airplane,bird
570,570,bird,frog
571,571,airplane,horse
572,572,airplane,automobile
573,573,deer,cat
574,574,automobile,frog
575,575,cat,frog
576,576,ship,ship
577,577,ship,truck
578,578,bird,horse
579,579,ship,dog
580,580,ship,deer
581,581,ship,airplane
582,582,bird,ship
583,583,airplane,deer
584,584,airplane,airplane
585,585,automobile,truck
586,586,frog,cat
587,587,airplane,deer
588,588,airplane,ship
589,589,ship,truck
590,590,airplane,frog
591,591,airplane,truck
592,592,bird,bird
593,593,deer,frog
594,594,airplane,automobile
595,595,airplane,deer
596,596,bird,horse
597,597,airplane,cat
598,598,bird,dog
599,599,dog,cat
600,600,airplane,ship
601,601,airplane,dog
602,602,airplane,airplane
603,603,airplane,bird
604,604,ship,automobile
605,605,frog,frog
606,606,dog,deer
607,607,airplane,cat
608,608,airplane,cat
609,609,automobile,truck
610,610,frog,frog
611,611,automobile,truck
612,612,airplane,ship
613,613,ship,ship
614,614,cat,dog
615,615,airplane,ship
616,616,frog,frog
617,617,horse,frog
618,618,airplane,bird
619,619,automobile,automobile
620,620,airplane,horse
621,621,airplane,horse
622,622,airplane,automobile
623,623,airplane,bird
624,624,bird,horse
625,625,automobile,truck
626,626,airplane,truck
627,627,bird,deer
628,628,airplane,deer
629,629,airplane,automobile
630,630,airplane,bird
631,631,airplane,dog
632,632,frog,frog
633,633,airplane,ship
634,634,deer,horse
635,635,automobile,frog
636,636,airplane,ship
637,637,airplane,cat
638,638,automobile,airplane
639,639,airplane,dog
640,640,cat,dog
641,641,frog,cat
642,642,ship,airplane
643,643,airplane,horse
644,644,airplane,truck
645,645,airplane,automobile
646,646,airplane,cat
647,647,bird,deer
648,648,horse,deer
649,649,bird,dog
650,650,cat,cat
651,651,automobile,truck
652,652,airplane,dog
653,653,bird,frog
654,654,automobile,truck
655,655,airplane,bird
656,656,automobile,automobile
657,657,frog,automobile
658,658,deer,deer
659,659,bird,automobile
660,660,truck,truck
661,661,airplane,deer
662,662,airplane,horse
663,663,airplane,frog
664,664,bird,cat
665,665,ship,ship
666,666,ship,truck
667,667,airplane,airplane
668,668,bird,automobile
669,669,bird,cat
670,670,bird,frog
671,671,cat,cat
672,672,airplane,frog
673,673,airplane,cat
674,674,bird,bird
675,675,automobile,airplane
676,676,frog,cat
677,677,truck,automobile
678,678,bird,airplane
679,679,horse,dog
680,680,automobile,truck
681,681,bird,frog
682,682,airplane,deer
683,683,airplane,ship
684,684,automobile,truck
685,685,bird,frog
686,686,airplane,truck
687,687,airplane,frog
