,Instance ID,Predict,Real Label
0,0,T-shirt/top,T-shirt/top
1,1,Trouser,Trouser
2,2,Pullover,Pullover
3,3,Pullover,Pullover
4,4,Dress,Dress
5,5,Shirt,Pullover
6,6,Bag,Bag
7,7,Shirt,Shirt
8,8,Sandal,Sandal
9,9,T-shirt/top,T-shirt/top
10,10,Dress,Dress
11,11,Shirt,Coat
12,12,Coat,Coat
13,13,Shirt,Shirt
14,14,Bag,Bag
15,15,Sandal,Sandal
16,16,Shirt,Shirt
17,17,Dress,Dress
18,18,Shirt,Shirt
19,19,Coat,Coat
20,20,Coat,Coat
21,21,Coat,Coat
22,22,Pullover,Pullover
23,23,Trouser,Trouser
24,24,Sandal,Sandal
25,25,Sneaker,Sneaker
26,26,Bag,Bag
27,27,Coat,Coat
28,28,Coat,Coat
29,29,Trouser,Trouser
30,30,Ankle boot,Sandal
31,31,Sneaker,Sneaker
32,32,Sneaker,Sneaker
33,33,Bag,Bag
34,34,Trouser,Trouser
35,35,T-shirt/top,T-shirt/top
36,36,Ankle boot,Ankle boot
37,37,Bag,Bag
38,38,T-shirt/top,T-shirt/top
39,39,Bag,Bag
40,40,Pullover,Pullover
41,41,T-shirt/top,T-shirt/top
42,42,Coat,Coat
43,43,T-shirt/top,Shirt
44,44,Pullover,Pullover
45,45,T-shirt/top,T-shirt/top
46,46,Dress,Dress
47,47,Dress,Dress
48,48,Pullover,Pullover
49,49,Dress,Dress
50,50,Pullover,Pullover
51,51,Coat,Pullover
52,52,Ankle boot,Ankle boot
53,53,Dress,Dress
54,54,T-shirt/top,T-shirt/top
55,55,Ankle boot,Ankle boot
56,56,Ankle boot,Ankle boot
57,57,Coat,Coat
58,58,T-shirt/top,Shirt
59,59,Dress,T-shirt/top
60,60,Coat,Coat
61,61,Sandal,Sandal
62,62,Coat,Coat
63,63,Shirt,Shirt
64,64,Trouser,Trouser
65,65,Trouser,Trouser
66,66,T-shirt/top,T-shirt/top
67,67,Ankle boot,Ankle boot
68,68,Ankle boot,Sandal
69,69,Pullover,Pullover
70,70,Sneaker,Sneaker
71,71,Dress,Dress
72,72,Coat,Coat
73,73,Shirt,Shirt
74,74,Sandal,Sandal
75,75,Sneaker,Sneaker
76,76,Trouser,Trouser
77,77,Shirt,Shirt
78,78,Trouser,Trouser
79,79,Dress,Coat
80,80,Ankle boot,Ankle boot
81,81,Shirt,Bag
82,82,Trouser,Trouser
83,83,Shirt,Pullover
84,84,Coat,Coat
85,85,Bag,Bag
86,86,Ankle boot,Ankle boot
87,87,Coat,Coat
88,88,Trouser,Trouser
89,89,Shirt,Shirt
90,90,Dress,Dress
91,91,Shirt,Coat
92,92,Pullover,Pullover
93,93,Shirt,Pullover
94,94,Shirt,Pullover
95,95,T-shirt/top,Shirt
96,96,Coat,Coat
97,97,Sneaker,Sneaker
98,98,Sneaker,Sneaker
99,99,Dress,Dress
100,100,Ankle boot,Ankle boot
101,101,Dress,Dress
102,102,Ankle boot,Ankle boot
103,103,Shirt,T-shirt/top
104,104,Bag,Bag
105,105,Pullover,Pullover
106,106,Dress,Dress
107,107,Bag,Bag
108,108,Pullover,Pullover
109,109,Sneaker,Sneaker
110,110,Sandal,Sandal
111,111,Sandal,Sandal
112,112,Coat,Dress
113,113,Pullover,Pullover
114,114,Sneaker,Sneaker
115,115,Sandal,Sandal
116,116,T-shirt/top,T-shirt/top
117,117,Shirt,Pullover
118,118,Sneaker,Sneaker
119,119,Dress,Trouser
120,120,T-shirt/top,T-shirt/top
121,121,Sandal,Sandal
122,122,Shirt,Coat
123,123,Coat,Coat
124,124,Sneaker,Sneaker
125,125,T-shirt/top,T-shirt/top
126,126,Sneaker,Bag
127,127,Sandal,Sandal
128,128,T-shirt/top,T-shirt/top
129,129,Dress,Dress
130,130,Trouser,Trouser
131,131,Sneaker,Sneaker
132,132,Ankle boot,Ankle boot
133,133,Coat,Coat
134,134,Ankle boot,Ankle boot
135,135,Shirt,Shirt
136,136,Coat,Coat
137,137,Coat,Coat
138,138,Shirt,Pullover
139,139,Coat,Coat
140,140,Dress,Dress
141,141,Dress,Dress
142,142,Dress,Dress
143,143,Pullover,Pullover
144,144,Pullover,Pullover
145,145,Shirt,Shirt
146,146,T-shirt/top,T-shirt/top
147,147,T-shirt/top,T-shirt/top
148,148,Trouser,Trouser
149,149,Dress,Dress
150,150,Coat,Coat
151,151,Dress,Dress
152,152,Dress,Dress
153,153,Trouser,Trouser
154,154,Ankle boot,Ankle boot
155,155,Dress,Dress
156,156,Dress,Dress
157,157,T-shirt/top,Dress
158,158,Ankle boot,Ankle boot
159,159,Sandal,Sandal
160,160,Shirt,Shirt
161,161,Sneaker,Sneaker
162,162,Sneaker,Sneaker
163,163,Dress,Dress
164,164,Pullover,Pullover
165,165,Coat,Coat
166,166,T-shirt/top,T-shirt/top
167,167,Pullover,Bag
168,168,Sneaker,Sneaker
169,169,Pullover,Pullover
170,170,Shirt,Pullover
171,171,Bag,Bag
172,172,Ankle boot,Ankle boot
173,173,T-shirt/top,T-shirt/top
174,174,Pullover,Pullover
175,175,Coat,Coat
176,176,T-shirt/top,Coat
177,177,Bag,Sandal
178,178,Sneaker,Sneaker
179,179,Ankle boot,Ankle boot
180,180,Sneaker,Ankle boot
181,181,Trouser,Trouser
182,182,Dress,Dress
183,183,Ankle boot,Ankle boot
184,184,Trouser,Trouser
185,185,Sneaker,Sandal
186,186,Sandal,Sandal
187,187,Shirt,Shirt
188,188,T-shirt/top,T-shirt/top
189,189,Sneaker,Sneaker
190,190,Coat,Coat
191,191,Sneaker,Ankle boot
192,192,Trouser,Trouser
193,193,Shirt,Shirt
194,194,Pullover,T-shirt/top
195,195,T-shirt/top,T-shirt/top
196,196,Shirt,T-shirt/top
197,197,Coat,Coat
198,198,Pullover,T-shirt/top
199,199,Ankle boot,Ankle boot
200,200,T-shirt/top,T-shirt/top
201,201,Coat,Coat
202,202,Pullover,Pullover
203,203,Sandal,Sandal
204,204,Sandal,Sandal
205,205,Bag,Bag
206,206,T-shirt/top,Shirt
207,207,Pullover,Pullover
208,208,Trouser,Trouser
209,209,Ankle boot,Ankle boot
210,210,Shirt,T-shirt/top
211,211,Coat,Coat
212,212,Sneaker,Sneaker
213,213,Trouser,Trouser
214,214,Ankle boot,Ankle boot
215,215,Sandal,Sandal
216,216,Ankle boot,Ankle boot
217,217,T-shirt/top,T-shirt/top
218,218,Pullover,Pullover
219,219,Bag,Bag
220,220,Sandal,Sandal
221,221,Sneaker,Sneaker
222,222,Ankle boot,Sneaker
223,223,Shirt,Dress
224,224,Pullover,Pullover
225,225,Coat,Coat
226,226,Sandal,Sandal
227,227,Sneaker,Sneaker
228,228,Bag,Bag
229,229,Trouser,Trouser
230,230,Ankle boot,Ankle boot
231,231,Sandal,Sandal
232,232,Shirt,Shirt
233,233,Pullover,Pullover
234,234,Ankle boot,Ankle boot
235,235,Sneaker,Sneaker
236,236,Coat,Coat
237,237,T-shirt/top,T-shirt/top
238,238,Ankle boot,Ankle boot
239,239,Pullover,Pullover
240,240,Trouser,Trouser
241,241,Sandal,Sandal
242,242,Sneaker,Sneaker
243,243,Sneaker,Sneaker
244,244,T-shirt/top,T-shirt/top
245,245,Pullover,Pullover
246,246,Coat,Coat
247,247,Sandal,Sandal
248,248,Dress,Dress
249,249,Dress,Dress
250,250,Bag,Bag
251,251,Trouser,Trouser
252,252,Shirt,Shirt
253,253,Coat,Pullover
254,254,Coat,Coat
255,255,Bag,Bag
256,256,Coat,Shirt
257,257,Ankle boot,Ankle boot
258,258,Bag,Bag
259,259,Dress,Dress
260,260,Dress,Dress
261,261,Pullover,Pullover
262,262,Coat,Coat
263,263,Coat,Pullover
264,264,Pullover,Pullover
265,265,Ankle boot,Ankle boot
266,266,Dress,Dress
267,267,Ankle boot,Ankle boot
268,268,Pullover,Pullover
269,269,Bag,Bag
270,270,Shirt,Shirt
271,271,Bag,Bag
272,272,Bag,Bag
273,273,Pullover,Pullover
274,274,Sneaker,Sneaker
275,275,Pullover,Pullover
276,276,Sandal,Sandal
277,277,Sandal,Sandal
278,278,Ankle boot,Ankle boot
279,279,Sneaker,Sandal
280,280,Bag,Bag
281,281,Pullover,Pullover
282,282,Coat,Coat
283,283,Bag,Bag
284,284,Dress,Coat
285,285,Bag,Bag
286,286,Dress,Dress
287,287,Trouser,Trouser
288,288,Pullover,Pullover
289,289,Pullover,Pullover
290,290,Pullover,Pullover
291,291,Trouser,Trouser
292,292,Bag,Bag
293,293,Trouser,Trouser
294,294,Dress,Dress
295,295,T-shirt/top,Dress
296,296,Dress,Coat
297,297,Trouser,Trouser
298,298,Sneaker,Sneaker
299,299,T-shirt/top,T-shirt/top
300,300,Sandal,Sandal
301,301,Pullover,Pullover
302,302,T-shirt/top,T-shirt/top
303,303,Ankle boot,Sneaker
304,304,Shirt,Shirt
305,305,Pullover,Shirt
306,306,Sneaker,Sneaker
307,307,Coat,Coat
308,308,Sneaker,Sneaker
309,309,Sneaker,Sneaker
310,310,Trouser,Trouser
311,311,Shirt,Shirt
312,312,Shirt,Shirt
313,313,T-shirt/top,Shirt
314,314,Sneaker,Sneaker
315,315,Bag,Bag
316,316,Ankle boot,Sneaker
317,317,T-shirt/top,T-shirt/top
318,318,Ankle boot,Ankle boot
319,319,Pullover,Pullover
320,320,T-shirt/top,T-shirt/top
321,321,Pullover,Pullover
322,322,Sneaker,Sandal
323,323,T-shirt/top,T-shirt/top
324,324,Bag,Bag
325,325,Sandal,Sandal
326,326,Bag,Bag
327,327,Sneaker,Sneaker
328,328,Sneaker,Sneaker
329,329,Shirt,Coat
330,330,Trouser,Trouser
331,331,Pullover,Pullover
332,332,Ankle boot,Ankle boot
333,333,Sneaker,Sneaker
334,334,Shirt,Shirt
335,335,Shirt,T-shirt/top
336,336,Trouser,Trouser
337,337,Shirt,Shirt
338,338,Dress,Dress
339,339,Bag,Bag
340,340,Shirt,Shirt
341,341,Sandal,Sandal
342,342,Sandal,Sandal
343,343,T-shirt/top,T-shirt/top
344,344,Ankle boot,Ankle boot
345,345,Pullover,Pullover
346,346,Ankle boot,Ankle boot
347,347,Bag,Bag
348,348,T-shirt/top,T-shirt/top
349,349,Shirt,Shirt
350,350,Ankle boot,Ankle boot
351,351,Shirt,Shirt
352,352,Coat,Coat
353,353,Dress,Dress
354,354,T-shirt/top,Shirt
355,355,Shirt,Shirt
356,356,T-shirt/top,Shirt
357,357,Bag,Bag
358,358,Sandal,Sandal
359,359,Ankle boot,Ankle boot
360,360,Sandal,Sandal
361,361,Trouser,Trouser
362,362,Shirt,Pullover
363,363,T-shirt/top,T-shirt/top
364,364,Sneaker,Sneaker
365,365,Trouser,Trouser
366,366,Pullover,Pullover
367,367,Sneaker,Sneaker
368,368,Sandal,Sandal
369,369,Ankle boot,Ankle boot
370,370,Bag,Shirt
371,371,Pullover,Pullover
372,372,T-shirt/top,T-shirt/top
373,373,Shirt,Pullover
374,374,Pullover,Pullover
375,375,Shirt,Shirt
376,376,T-shirt/top,Shirt
377,377,Sneaker,Sneaker
378,378,Pullover,Pullover
379,379,Ankle boot,Ankle boot
380,380,Bag,Bag
381,381,Dress,Dress
382,382,Ankle boot,Ankle boot
383,383,Sneaker,Sneaker
384,384,Sandal,Sandal
385,385,Trouser,Trouser
386,386,Coat,Coat
387,387,Pullover,Pullover
388,388,Ankle boot,Ankle boot
389,389,Sandal,Sandal
390,390,Sandal,Sandal
391,391,Shirt,T-shirt/top
392,392,Dress,Dress
393,393,Coat,Coat
394,394,Sneaker,Sneaker
395,395,Coat,Coat
396,396,Pullover,Shirt
397,397,Shirt,Coat
398,398,Shirt,T-shirt/top
399,399,Sandal,Sandal
400,400,T-shirt/top,T-shirt/top
401,401,Pullover,Shirt
402,402,T-shirt/top,T-shirt/top
403,403,Pullover,Pullover
404,404,Dress,Dress
405,405,Bag,Sandal
406,406,Sneaker,Sneaker
407,407,T-shirt/top,T-shirt/top
408,408,Sandal,Sandal
409,409,T-shirt/top,T-shirt/top
410,410,Ankle boot,Ankle boot
411,411,T-shirt/top,T-shirt/top
412,412,Ankle boot,Sandal
413,413,Shirt,Shirt
414,414,Sneaker,Sneaker
415,415,Sneaker,Sneaker
416,416,Sandal,Sandal
417,417,Bag,Sandal
418,418,Coat,Coat
419,419,Coat,Coat
420,420,T-shirt/top,T-shirt/top
421,421,Coat,Coat
422,422,T-shirt/top,T-shirt/top
423,423,Ankle boot,Ankle boot
424,424,Bag,Bag
425,425,Coat,Coat
